| **Observation**                   | **Risk**                                                                                                                                                      | **Benefit of Barrier Protection**                                                                                            |
| --------------------------------- | ------------------------------------------------------------------------------------------------------------------------------------------------------------- | ---------------------------------------------------------------------------------------------------------------------------- |
| **Workstations**                  | Employees seated close to vehicle routes remain exposed while distracted. Basic, non-tested barriers are easily damaged and ineffective against real impacts. | Impact-rated barriers shield staff, reduce repeat maintenance, and prevent costly downtime from accidents.                   |
| **Pedestrian Walkways**           | Painted lines alone offer no protection. Pedestrians are exposed to vehicles, blocked routes, and poor driver visibility.                                     | Physical barriers safely segregate pedestrians, maintain evacuation routes, and improve MHE efficiency with fewer obstacles. |
| **Crossing Points & Exits**       | Staff crossing high-traffic or blind spots are vulnerable. Painted markings fail to stop vehicles or distracted pedestrians.                                  | Guided crossings and barriers provide safe, visible, and controlled movement across vehicle zones.                           |
| **Racking**                       | Vehicle impacts compromise racking integrity, risking collapse, product loss, and costly replacement.                                                         | Barriers preserve racking stability, prevent collapse, and protect both staff and stored goods.                              |
| **Industrial Doors**              | Vehicle damage disrupts workflows, reduces loading capacity, and compromises environmental control.                                                           | Robust barriers protect doors, maintain security, efficiency, and climate control, while avoiding repair downtime.           |
| **Cold Storage**                  | Insulated panels are easily damaged, causing temperature loss, product spoilage, and high repair costs.                                                       | Barriers prevent panel damage, preserve goods, reduce energy waste, and avoid operational disruption.                        |
| **Fire Hose Cabinets**            | Impact damage can render firefighting equipment unusable, delaying emergency response.                                                                        | Barriers ensure cabinets remain accessible and operational, protecting staff, assets, and compliance.                        |
| **Structural Columns**            | Impacts from vehicles can damage structural or mezzanine columns, threatening building integrity.                                                             | Impact-rated barriers absorb collisions, protect structures, and prevent costly facility repairs.                            |
| **Overhead Pipework & Cables**    | Overhead utilities are often overlooked. Impacts can disrupt power, processing, or CCTV, causing downtime.                                                    | Barriers protect critical infrastructure, ensuring uninterrupted power and operations.                                       |
| **External Loading Platforms**    | Forklifts risk falling 1–2m from raised docks, endangering operators and damaging equipment.                                                                  | Barriers eliminate fall hazards, safeguard operators, and maintain safe, continuous loading operations.                      |
| **Processing Machinery**          | Vehicle collisions can cause severe equipment damage, downtime, and injury or fatalities.                                                                     | Barriers protect machinery, prevent production halts, and safeguard employees from life-threatening risks.                   |
| **Electrical Distribution Boxes** | Impact damage risks short circuits, outages, fires, and prolonged downtime from complex repairs.                                                              | Barriers maintain power continuity, reduce outage risks, and mitigate fire hazards.                                          |
